编号,病历类型,方案编码,字段名,对应档案表,colid,打印值,默认录入值,列表顺序,排序方式,排序顺序,显示宽度,是否显示
1,羊水,01,id,I_ID,1,I_ID,,147,0,145,35,False
2,羊水,01,records,病历册,2,病历册,,148,0,146,35,True
3,羊水,01,record_no,编号,3,编号,,1,0,3,50,True
4,羊水,01,sort_no,排序号,4,排序号,,146,降序,1,50,True
5,羊水,01,id_no,ID号,5,ID号,,149,,147,-1,False
6,羊水,01,wife_name,孕妇姓名,6,孕妇姓名,,3,0,5,45,True
7,羊水,01,wife_age,孕妇年龄,7,孕妇年龄,,4,,6,30,True
8,羊水,01,wife_birthday_year,年,8,孕妇出生年,,6,0,8,30,True
9,羊水,01,wife_birthday_month,月,9,孕妇出生月,,7,0,9,30,True
10,羊水,01,wife_origin,籍贯,10,孕妇籍贯,,8,0,10,30,True
11,羊水,01,wife_nation,民族,11,孕妇民族,,9,,11,30,True
12,羊水,01,wife_profession,职业,12,孕妇职业,,10,0,12,40,True
13,羊水,01,wife_phone,孕妇手机,13,孕妇手机,,11,0,13,80,True
14,羊水,01,husband_name,丈夫姓名,14,丈夫姓名,,12,0,14,45,True
15,羊水,01,husband_age,丈夫年龄,15,丈夫年龄,,13,0,15,30,True
16,羊水,01,husband_birthday_year,年,16,丈夫出生年,,14,0,16,30,True
17,羊水,01,husband_birthday_month,月,17,丈夫出生月,,15,0,17,30,False
18,羊水,01,husband_origin,籍贯,18,丈夫籍贯,,16,0,18,30,False
19,羊水,01,husband_nation,民族,19,丈夫民族,,17,,19,30,False
20,羊水,01,husband_profession,职业,20,丈夫职业,,18,0,20,40,False
21,羊水,01,husband_phone,丈夫手机,21,丈夫手机,,19,0,21,80,True
22,羊水,01,communication_address,通讯地址,22,通讯地址,,20,0,22,140,False
23,羊水,01,residential_telephone,住宅电话,23,住宅电话,,21,0,23,65,True
24,羊水,01,ifpoverty,双方地贫,24,双方地贫,,5,0,7,30,True
25,羊水,01,referral_status,是否转诊,25,是否转诊,,22,0,24,30,False
26,羊水,01,referral_hospital,转诊医院,26,转诊医院,,23,0,25,100,False
27,羊水,01,screen_date,筛查日期,27,筛查日期,,24,0,26,70,False
28,羊水,01,pregnancy_week,孕周,28,孕周,,25,0,27,20,False
29,羊水,01,pregnancy_day,孕天,29,孕天,,26,0,28,20,False
30,羊水,01,afp_od,AFP_OD,30,AFP_OD,,27,0,29,40,False
31,羊水,01,afp_mo,AFP_Mo,31,AFP_Mo,,28,0,30,40,False
32,羊水,01,b_hcg_od,β-HCG_OD,32,β-HCG_OD,,29,0,31,40,False
33,羊水,01,b_hcg_mo,β-HCG_Mo,33,β-HCG_Mo,,30,0,32,40,False
34,羊水,01,tribody_risk_21,三体风险,34,21三体风险,,31,0,33,40,False
35,羊水,01,tribody_risk_18,三体风险,35,18三体风险,,32,0,34,40,False
36,羊水,01,tribody_risk_13,三体风险,36,13三体风险,,33,0,35,40,False
37,羊水,01,ontd_risk,ONTD风险,37,ONTD风险,,34,0,36,30,False
38,羊水,01,pappa_miu_ml,PAPPA_mIu/ml,38,PAPPA_mIu/ml,,35,0,37,40,False
39,羊水,01,pappa_mo,PAPPA_Mo,39,PAPPA_Mo,,36,0,38,30,False
40,羊水,01,check_date,检查日期,40,检查日期,,37,0,39,70,True
41,羊水,01,check_hospital,检查医院,41,检查医院,本院,38,0,40,80,True
42,羊水,01,gene_detection_poverty,地贫基因检测,42,地贫基因检测,均未检查,39,0,41,200,True
43,羊水,01,red_crispy,红脆,43,红脆,,40,0,42,30,False
44,羊水,01,wbc,WBC,44,WBC,,-1,,-1,-1,False
45,羊水,01,mcv,MCV,45,MCV,,41,0,43,30,True
46,羊水,01,mch,MCH,46,MCH,,42,0,44,30,True
47,羊水,01,hb,Hb,47,Hb,,43,0,45,30,True
48,羊水,01,bg,BG,48,BG,,44,0,46,20,True
49,羊水,01,rh,RH,49,RH,上次保存值,45,0,47,20,True
50,羊水,01,hb_elect_a2,Hb电泳A2,50,Hb电泳A2,,46,0,48,30,True
51,羊水,01,hb_elect_other,Hb电泳其它,51,Hb电泳其它,,47,0,49,30,True
52,羊水,01,husband_check_date,丈夫检查日期,52,丈夫检查日期,,48,0,50,-1,True
53,羊水,01,husband_check_hospital,检查医院,53,丈夫检查医院,,49,0,51,80,True
54,羊水,01,husband_gene_detection_poverty,地贫基因检测,54,地贫基因检测,均未检查,50,0,52,200,True
55,羊水,01,husband_red_crispy,丈夫红脆,55,丈夫红脆,,51,0,53,30,False
56,羊水,01,husband_wbc,丈夫WBC,56,丈夫WBC,,-1,,-1,-1,False
57,羊水,01,husband_mcv,丈夫MCV,57,丈夫MCV,,52,0,54,30,True
58,羊水,01,husband_mch,丈夫MCH,58,丈夫MCH,,53,0,55,30,True
59,羊水,01,husband_hb,丈夫Hb,59,丈夫Hb,,54,0,56,30,True
60,羊水,01,husband_bg,丈夫BG,60,丈夫BG,,55,0,57,20,True
61,羊水,01,husband_rh,丈夫RH,61,丈夫RH,,56,0,58,20,True
62,羊水,01,husband_hb_elect_a2,丈夫Hb电泳A2,62,丈夫Hb电泳A2,,57,0,59,40,True
63,羊水,01,husband_hb_elect_other,丈夫Hb电泳其它,63,丈夫Hb电泳其它,,58,0,60,50,True
64,羊水,01,b_check_date,B超日期,64,B超日期,,59,0,61,-1,True
65,羊水,01,b_check_hospital,B超检查医院,65,B超检查医院,,60,0,62,80,True
66,羊水,01,menolipsis_week,孕周,66,停经_周,,61,0,63,30,True
67,羊水,01,menolipsis_day,孕天,67,停经_天,,62,0,64,30,True
68,羊水,01,b_pregnancy_week,孕周,68,B超孕周_周,,63,0,65,40,True
69,羊水,01,b_pregnancy_day,孕天,69,B超孕周_天,,64,0,66,40,True
70,羊水,01,bpd,BPD,70,BPD,,65,0,67,30,True
71,羊水,01,head_circumference,头围,71,头围,,66,0,68,30,True
72,羊水,01,ventral_circumference,腹围,72,腹围,,67,0,69,30,True
73,羊水,01,ventral_diameter,腹径,73,腹径,,68,0,70,30,True
74,羊水,01,femur,股骨,74,股骨,,69,0,71,30,True
75,羊水,01,humerus,肱骨,75,肱骨,,70,0,72,30,True
76,羊水,01,fi,FI,76,FI,,71,0,73,30,True
77,羊水,01,av,AV,77,AV,,72,0,74,30,True
78,羊水,01,a_b,A/B,78,A/B,,73,0,75,30,True
79,羊水,01,placenta_position,胎盘位置,79,胎盘位置,,74,0,76,30,True
80,羊水,01,placenta_thickness,胎盘厚度,80,胎盘厚度,,75,0,77,30,True
81,羊水,01,nf,NF,81,NF,,76,0,78,30,True
